"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"NOMO2","Q5JPE7","4",NA,1370870,1388330,2357650,NA,2014840,1314580,2140730,NA,2263770,2284950,1212240,1648020,1455280,2092930,1688920,1734340,2189680,1651300,2275650,1487700,1853950,1654880,2076770,1718710,2061290,1254020,1896200,1968020,1780280,1948780,2062500,2008110,2488950,NA,NA,NA,NA,2147510,NA,2175040,1857600,1775130,NA,NA,2831020,2113300,1705620,NA,1902960,2133800,NA,NA,658438,NA,1690130,1405250,1696360,NA,1637810,2272260,2015610,2332240,2283880,"-"
"NONO","Q15233","8",261750,422584,270043,279992,252264,379745,270017,541063,329185,423465,222855,256188,455718,397927,330897,240488,277996,635103,282906,237668,341222,485366,381376,317925,334836,430098,224585,418151,433231,433825,223918,323356,320495,424827,NA,293851,318032,336772,293912,430816,298858,275525,267662,174700,370407,313588,242243,253403,288505,322405,356525,349726,NA,392907,NA,260616,250549,248690,267760,265482,280561,269762,324247,311019,"-"
"NOS1","Q8WY41","2",NA,543378,350516,NA,NA,NA,NA,NA,NA,469221,NA,161319,190486,NA,491043,NA,NA,NA,389639,NA,NA,360888,419958,168428,NA,898692,NA,146419,NA,NA,NA,NA,330715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"NPC2","P61916","1",26570.1,21811.3,30631,NA,42546.3,29225.9,NA,35577.7,32090.3,39221.3,38592.7,16480.5,26626.3,29803.5,67226.7,15498.5,39155.1,36041.7,23052.9,12134.8,27371,42118.5,15098.7,NA,43709.4,38733.2,NA,53128.5,25099.5,23750.3,NA,NA,16135.9,NA,NA,NA,NA,NA,14689.7,NA,NA,NA,NA,NA,NA,NA,NA,26532.9,NA,15877.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7484.56,10474.2,NA,"-"
"NPEPL1","Q8NDH3","4",1582260,2030800,1621740,1874140,2102210,1533080,1731280,1206750,1601610,1794750,1680290,1042290,1741260,1464850,1899000,1721080,1758140,1977380,2034570,1950890,2124230,1662530,1813040,1859710,1797130,1974840,1661010,2218080,1479910,1952960,1435550,1531430,1748830,1449430,714192,617223,525315,470782,1780290,2538170,1857710,2107980,1224330,471415,1785210,1131920,1396760,1255080,2275380,1364490,1966330,636594,830054,643329,295171,1901780,1560280,1527650,1710530,1836000,1826000,1627930,2348800,1416430,"-"
"NPEPPS","P55786","38",42914200,23983200,29334700,30248700,36558700,27065200,36899800,36773500,25993800,33096100,26938900,34842500,34466400,26862900,26311100,28157800,34743300,22706600,30065500,28071500,27749900,20365600,30953500,31299500,25237800,27384900,30640600,36775700,32974700,25514700,34486200,40968000,24404400,34142400,31314200,36393800,42219700,31504800,33648600,29293400,29259300,32135600,33687300,32143500,33518400,32827900,28336200,26077300,32763600,24926300,29479300,28884800,42622800,32222500,29184100,32696600,37328800,26417800,28818900,31145100,30283500,23420100,32942600,20365500,"-"
"NPLOC4","Q8TAT6","7",866195,747966,613571,965370,696086,656345,762503,768814,710679,641585,528397,611161,833076,546390,618475,755753,624425,785387,732408,757473,546103,927919,904098,804463,762988,833056,657855,625742,743793,799070,695605,NA,665113,820793,NA,NA,NA,760436,820143,979155,993721,978600,746823,NA,823439,769015,940157,749439,982864,769963,967374,NA,892695,693478,1056130,825323,624176,851346,1088340,1046940,1116980,664531,955580,855469,"-"
"NPM1","P06748","6",5927930,5873800,4604020,4024170,3379350,5125900,2722940,6972510,5322050,5921070,2347430,3181330,6457780,4790840,4561180,3199790,3248910,8596440,4293710,3254960,4070600,7588180,4701690,3995320,5030030,5535100,4056900,4499010,6815780,5141800,3942390,5567870,4821590,10264700,4420000,3455400,4441810,4573810,3371000,5134460,4924200,4381920,3914060,3546470,5888930,5148020,4014410,4172790,5468630,6184850,7598490,5923620,4787250,6222990,3689410,3280140,4104430,3586310,5389860,3656240,6014210,3983960,3518290,4398570,"-"
"NPTN","Q9Y639","1",NA,30887.3,NA,NA,NA,NA,NA,NA,40260.2,44574.4,NA,28190.4,NA,58740.8,46498.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36430.4,53029.5,59253.6,46047.8,62119.3,66737.9,NA,NA,39018.2,NA,NA,NA,NA,NA,35888.9,NA,75227.1,NA,NA,NA,NA,NA,NA,NA,NA,24809.7,NA,NA,NA,NA,NA,NA,NA,35400,NA,NA,NA,NA,NA,NA,"-"
"NQO2","P16083","10",4373530,2078330,10739900,7041200,682274,6588230,2112540,28251000,2701320,8830340,7739370,12761700,18196600,10202900,6602910,9786370,3192030,2457740,11166900,6564400,1943200,4304200,1748130,18895800,2131950,6979950,13752900,8695070,5784900,3699430,10151500,2570020,6549570,17237600,15216100,8625540,23119600,21024800,13416700,2657280,6506320,2714230,NA,2393720,14913300,9752860,1809240,7453110,2446790,3837920,2395130,15453000,8187090,16910900,13276300,13312400,2411940,5827710,1675430,1636040,2796260,8628640,7909360,1546280,"-"
"NRAP","Q86VF7","32",2615100,1770750,790845,1738700,3916810,2165460,1705210,1673040,2942070,2231260,3266570,1689290,1619910,2812890,1891070,2483160,2500560,2018030,1657390,2712140,3198310,3459590,1726610,4180850,4325060,2173700,1756820,1253260,2028870,5433450,1643590,1552090,1639720,10751900,7267540,4432900,3989110,1347020,4573820,3707860,9184300,3564310,8920220,5704010,2407010,6152520,3731450,1863380,1784140,2836870,4156750,7108440,12364900,7952960,1645670,3868320,2212630,6177940,6740330,11243800,8425620,5675630,5452620,13855900,"-"
"NRBP1","Q9UHY1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,767187,586820,NA,910938,21075.7,NA,NA,758609,NA,NA,NA,536684,15940.5,NA,NA,NA,NA,636158,NA,NA,469899,NA,NA,425300,NA,NA,NA,NA,NA,NA,NA,399006,652932,NA,NA,NA,777905,NA,729143,NA,NA,NA,NA,NA,NA,NA,NA,NA,811626,746164,NA,NA,893910,1000710,NA,"-"
"NSF","P46459","21",2761260,871507,1113560,1638120,1529720,1457260,1519220,1006090,1588860,1457460,1007430,1049410,1006460,962307,2100550,819224,3555130,960440,1393170,1472030,1352520,1260570,1387560,1080460,1518500,1415390,1245360,2067020,2259400,1911800,1497180,1085000,1530060,1742660,NA,1479130,1370190,1446040,950466,1704860,1112270,1148000,853960,NA,1953130,990576,1485740,1825410,1237890,1553630,1236460,NA,2084100,1711270,912941,1287850,2145630,1151340,1228440,1103070,1053290,1771150,1258330,1489080,"-"
"NSFL1C","Q9UNZ2","13",12462800,10065900,8769250,10039600,13767100,9356130,10593400,12527600,10609100,11345400,10395000,9515030,13049500,9402720,8647350,9457440,10083300,10291900,9530810,8910370,10143300,9826770,9315980,12076500,9912940,11533700,10409000,12215400,9955550,8795980,10529400,10546700,9002450,11723800,9032590,13656600,14414800,13379100,10074300,8649010,10788700,10943100,11591000,7129970,10556700,9154250,8627310,9266440,9782280,10027000,10625000,8757580,13903300,13913200,10730400,9444850,10737100,10027800,11860900,11056200,7875200,9719640,11044900,9032330,"-"
"NT5C","Q8TCD5","3",457724,220273,282190,284661,175354,185593,228479,304205,175549,335856,240407,302036,446683,192172,260525,238292,291360,238960,304379,300840,218218,143532,199411,252467,261231,259256,329611,410045,222671,283534,133539,401831,281486,487708,NA,188305,NA,252355,234411,332037,336010,453639,302067,218677,339769,368358,624607,125656,394498,177094,223586,NA,NA,207494,453779,265474,335448,260848,306105,287011,378499,228086,330624,306510,"-"
"NT5C1A","Q9BXI3","9",9269520,6408240,5663390,4667370,3617550,4114150,10561200,11844400,4489540,12767100,3739950,3614670,21529200,4240480,5797510,4593520,7968920,5120300,7528330,5163320,3552240,7623050,9037660,8691100,5475130,9178930,16597600,8188940,18089000,13335100,7997670,7539720,10090900,15026200,9232760,5449480,24372200,7560170,13224100,10742500,14808700,11797700,6370930,5847680,7762040,14063300,9397280,6006310,9949680,11883800,9329110,20073400,12899300,13952600,8817760,13026600,12568500,9338460,11807400,10342300,12309000,7701600,18975700,12556900,"-"
"NT5C2","P49902","2",NA,381111,405218,NA,387071,369478,NA,NA,NA,570395,NA,NA,359647,583583,460844,622364,NA,630118,559772,NA,NA,436792,NA,NA,NA,657298,413824,342715,699352,450807,NA,NA,NA,NA,NA,NA,424476,637230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783570,NA,592087,NA,NA,NA,165910,NA,NA,NA,NA,NA,NA,"-"
"NT5C3A","Q9H0P0","15",20977500,11436100,16672000,14548700,16768200,12465700,13535200,16142200,15064300,14454700,13643700,15688200,12684600,12566400,12722300,13010200,17721700,10778500,16238800,12190800,12243900,10569800,13417900,14173800,13940200,12983500,12677200,14528000,13104300,12603000,13350300,12184800,11081300,12181600,13187000,15902200,16023400,14375000,13759900,14598000,13340900,19236800,14180500,14848400,11997200,14264000,14827200,11897700,13182800,6640650,15673900,14827100,14485100,11990300,12181700,12331000,14113800,14348100,19855900,14319800,15175500,12783100,14905100,12873600,"-"
"NT5DC1","Q5TFE4","2",NA,97041,NA,200386,97150.9,NA,131115,NA,NA,126368,NA,161862,NA,NA,174216,NA,NA,110604,NA,NA,NA,NA,NA,187835,140504,125433,109037,NA,141489,141717,NA,NA,138430,NA,NA,NA,NA,NA,162416,NA,NA,200480,NA,NA,135666,137444,217020,NA,223405,133672,347416,NA,NA,NA,NA,172173,NA,113410,NA,NA,NA,176564,198683,81926.7,"-"
"NTMT1","Q9BV86","2",113362,132523,92512.2,189323,67125.7,197990,NA,203643,167835,155134,137678,71666.1,139960,153949,205332,216172,138525,394324,154382,96058.8,165417,221788,199143,85399.1,144627,262535,169143,197817,163806,202673,NA,118749,69679.4,NA,NA,NA,76461.6,NA,182263,171056,82467.2,104415,48801.8,NA,73235.9,149346,83330.2,NA,68632.8,NA,77727.5,87956.5,NA,NA,148251,NA,NA,52202.8,105568,NA,105746,98891,132647,124732,"-"
"NTPCR","Q9BSD7","3",236304,183852,235087,293430,95393.3,191684,301984,260628,259523,209524,254493,312809,219586,233058,202287,247756,295444,235571,261083,236727,153439,170123,293251,261205,259086,303482,352285,139302,121972,159381,164801,241168,232458,134642,NA,NA,NA,NA,164562,304954,214593,394488,228788,NA,140959,219410,91759.5,228275,261592,272676,312917,191484,NA,145662,140958,246485,202355,319113,350773,211012,329959,274081,327817,94396.5,"-"
"NUBP1","P53384","1",NA,59043.6,52745.7,78082.3,88367.4,61951.6,41058.9,53878.1,48452.5,NA,98368.6,57501.7,NA,53206.8,65717.7,67168.1,70585,57998.1,55812.1,43512.9,83896.8,96604.1,53626.1,59535.9,57492.9,NA,81226.7,NA,72028.7,64647.1,NA,NA,64936.6,NA,NA,NA,NA,NA,NA,79440.6,45722.1,NA,35082.9,NA,NA,91251.5,NA,51715.6,NA,55105,92099.6,NA,NA,NA,NA,93475.9,NA,67400.5,56772.5,49224.5,NA,NA,NA,36493,"-"
"NUBP2","Q9Y5Y2","1",NA,NA,NA,27351.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21066.5,NA,NA,NA,NA,31751.9,19572,NA,NA,NA,26635.3,18614.9,NA,28899.1,20886.5,23863.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18497.5,NA,NA,23915.1,NA,NA,NA,NA,NA,NA,NA,NA,19833.7,31599.9,13492.3,NA,13249.9,"-"
"NUBPL","Q8TB37","3",NA,NA,456767,979018,287894,643022,NA,317635,NA,731625,494484,398540,NA,316966,735054,543250,516083,NA,604355,690139,468762,413199,518764,592132,NA,760413,661596,643593,NA,NA,459182,NA,668020,NA,NA,NA,649516,489548,NA,NA,NA,NA,569328,NA,NA,NA,NA,439900,NA,NA,NA,NA,NA,NA,NA,667096,NA,NA,388674,NA,NA,NA,NA,NA,"-"
"NUCB1","Q02818","3",NA,NA,111791,NA,97261.6,NA,NA,NA,NA,157412,180300,50753.8,NA,NA,178686,79564.8,NA,NA,108724,NA,NA,NA,NA,NA,NA,93456,129641,NA,NA,158446,NA,NA,NA,NA,NA,NA,NA,117943,NA,NA,143283,NA,NA,NA,NA,281739,106431,NA,NA,92156.9,NA,NA,NA,196384,NA,NA,NA,120918,197818,104457,134703,178647,210311,119228,"-"
"NUCKS1","Q9H1E3","2",4220670,3388340,2745640,2913560,2907860,3111260,3181370,3674030,2466210,2933670,2815910,3047940,2973720,3061190,3260030,3251650,3663130,2320020,2743280,3055400,2541260,3688500,2915320,2702200,3077430,3621530,2915340,2573200,2857560,2522280,2946230,2509820,2735510,3171210,NA,1926900,3013320,2933410,3465030,2870050,2678330,3033070,2667020,2035700,2981680,2480440,2488030,1744870,2310810,2341090,2045230,1604360,2609610,4426000,1373030,2308280,2949730,2908420,3328090,2191430,1894870,3300820,3153110,3349470,"-"
"NUDC","Q9Y266","8",732593,900947,708718,795977,1106290,785232,798070,924450,972858,667923,781690,884117,776950,860573,718900,878818,711962,870981,751240,800982,873941,968241,750009,886062,788770,831478,713370,675086,818927,786766,749817,926989,844900,920978,NA,945071,558393,807210,804110,725419,959095,880466,772906,494190,930634,900449,624655,761680,782524,993584,803073,696453,1474140,1320260,665471,773323,833609,951689,797443,787377,834208,990209,788224,832840,"-"
"NUDCD2","Q8WVJ2","2",535060,401351,403723,425008,688855,396727,401505,569414,442865,360137,414791,431408,506493,397191,394834,372746,454519,507705,381247,494744,432050,452325,444172,459657,381790,389490,510631,509290,484914,353651,471503,785737,419023,508820,NA,146372,NA,NA,490937,520149,415994,518085,400806,247707,418152,597884,389640,428919,685856,415075,451424,150116,NA,NA,556094,536779,442581,402930,444547,435276,471016,416915,568611,453178,"-"
"NUDCD3","Q8IVD9","4",NA,NA,54282.8,NA,166483,NA,NA,NA,NA,NA,NA,NA,NA,91217.6,84368.3,NA,67164.3,NA,NA,NA,71800.9,NA,NA,56776.8,101109,60395.9,NA,48003.5,NA,80824.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67770.5,NA,NA,95978.6,138576,NA,NA,NA,NA,NA,NA,NA,NA,NA,99176.5,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"NUDT16","Q96DE0","3",149008,116899,96765.7,127636,161140,156622,104035,212748,174441,129197,110532,168846,166608,176202,174266,181027,NA,194492,152594,154556,181580,151330,160914,78556,127763,134137,154269,137113,150873,138950,NA,NA,111939,NA,NA,NA,NA,94401,158605,NA,121159,144854,NA,148302,142270,NA,142034,95127.6,113083,89735.6,NA,NA,NA,NA,146219,118614,NA,114868,NA,88988.4,70489.1,107298,NA,114145,"-"
"NUDT19","A8MXV4","4",NA,173662,134032,218542,98293.2,170472,NA,76433.2,NA,75575.1,145063,77275.1,88778.8,185521,192043,258855,NA,313336,206060,NA,163321,231252,88965.8,117295,121630,168805,110744,NA,59492,119667,NA,NA,124102,NA,NA,299365,218049,136098,NA,162929,NA,238016,NA,NA,128990,98743.8,152969,97440.1,136568,132592,106913,NA,209843,362143,NA,112592,NA,NA,NA,NA,143980,150537,NA,161589,"-"
"NUDT2","P50583","5",1332530,850965,1125100,NA,2064290,NA,NA,NA,680170,677227,NA,480141,424595,NA,446712,495901,1981880,1188120,1160710,NA,1407270,NA,NA,NA,NA,NA,556658,662303,1153040,1003930,686708,NA,473549,962084,NA,NA,1823990,NA,1192710,964691,NA,NA,NA,705165,NA,NA,NA,619906,NA,391894,NA,NA,NA,1439230,NA,1147550,1855330,687368,NA,NA,NA,463122,NA,NA,"-"
"NUDT3","O95989","4",NA,405714,331671,253379,398297,338687,248185,414530,494661,347268,346162,347576,399258,410105,420100,401579,345070,533234,420269,340655,320065,271949,252355,NA,506651,388776,427172,406959,250561,247512,235906,289930,344455,289601,NA,204172,193330,388602,440327,413793,263992,217855,299740,176003,269825,284218,308895,290109,234979,204131,209056,NA,278821,203711,NA,236038,298354,278920,393635,286024,280449,286749,295993,273528,"-"
"NUDT9","Q9BW91","1",82327.1,75245.1,70664.6,96227.8,61535.4,74611.3,46447.7,104278,81230,85286.1,96065.3,96986,57986.4,87392,NA,87532.2,67516.7,94785.2,80928.4,100056,73917.5,60417.8,73675.9,71713.9,84125.5,102939,50096,63105,70323.5,90124.3,NA,NA,74700.4,56055.4,NA,NA,NA,93833.2,87177.1,72888.1,44252.2,NA,74542.9,NA,70655.2,77161.1,68795.2,65048.5,NA,71338.5,61837.3,NA,NA,119949,NA,78292.6,NA,81487,NA,48038,69301.4,68650.1,76080.1,47281.3,"-"
"NUMA1","Q14980","4",NA,2384370,1653260,1520400,1980560,1771830,1682000,2325230,1941910,1799030,1950080,1911560,1778530,1990250,3011460,2423270,NA,3219410,1807930,1898620,2398280,2431910,NA,2383600,2307380,2026350,865128,2952310,1981740,1351020,2045390,2134740,2145990,2786680,5123460,1715060,1815720,2403060,2259280,2124060,1404810,NA,2152070,1648360,1997230,NA,1849520,2535630,1718660,1745700,2044960,2194070,3351900,3016870,1787910,NA,2295120,1862090,1939880,1714580,1654070,1544990,1300840,1570920,"-"
"NUP133","Q8WUM0","1",431765,325258,289709,738142,NA,868450,607015,636217,1001380,510034,243689,631837,434363,473815,590811,304473,645495,296493,262264,1375450,570501,691159,505411,560681,568566,495447,442102,1269280,305132,929713,1110970,NA,274955,1154380,NA,NA,NA,NA,242922,NA,189103,471652,665281,NA,NA,1113040,NA,777091,534216,492509,534354,NA,NA,NA,1005970,202339,296497,272817,NA,463406,NA,606544,1043820,NA,"-"
"NUP54","Q7Z3B4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125370,262217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"NUP88","Q99567","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5376.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6555.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10158.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"NUP93","Q8N1F7","2",NA,102770,38681.9,NA,NA,78992.2,NA,NA,NA,93440.1,51956.3,NA,56054.3,87670.9,77688.3,NA,NA,NA,NA,NA,54481.9,86868.6,NA,NA,NA,76627,NA,76590.2,NA,52792.9,NA,NA,63624.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48884.2,NA,76664.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"NUTF2","P61970","5",24131000,18311600,22572700,23920200,23157700,18156200,24798100,20724500,22803100,22662200,16702600,25669400,29412300,19598400,26170000,25270600,23074800,19376900,20428600,20770000,18291600,16767900,24317300,15486100,25802800,20773700,23641600,31762900,22128600,21102200,23279900,24700000,18120400,21914100,18873400,33285600,33419500,24336300,19188700,22455500,20556800,25666300,20394900,17218200,25521300,22614200,22714100,22979500,25876400,19035700,18476800,24031000,27118400,26588800,20072600,17867600,25517100,22235300,20304400,23484500,22402200,18194800,23239600,15531200,"-"
"NXN","Q6DKJ4","4",198831,205821,214482,185619,193254,193593,242580,250659,309837,272884,221358,202048,208923,266968,261031,245102,294506,183421,268203,110790,262675,368148,203780,234182,239730,306060,170586,242578,202102,207649,115693,NA,172027,186411,NA,101138,98674,148319,160865,112179,185885,135367,169103,NA,124678,118905,143461,159630,NA,219022,136051,108442,148079,114466,119677,159241,183534,160029,115243,165034,NA,131525,129250,217646,"-"
"OAT","P04181","1",NA,NA,45014.5,NA,NA,NA,NA,NA,NA,NA,36807.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37319,NA,NA,NA,NA,25426.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"OBSCN","Q5VST9","123",13883700,13102600,6993540,13785000,7714550,10865400,8824380,7422340,9245210,9335340,8419410,2895580,11494500,9902060,9678580,7838590,5396340,12811500,8250550,13914900,8265390,12883000,7972490,9873240,11328000,5522490,15429200,6057210,7325810,11911100,15562300,24096100,13368800,37028600,86195700,15281900,21085700,14895400,17667700,30052800,20503700,17697000,17938600,15086700,19307900,17024300,20247600,10817400,28038400,9257370,31030100,63474200,35955900,32982000,28687900,19925000,14722100,17401600,36910100,20729600,35413800,20534700,22574100,34279300,"-"
"OCIAD1","Q9NX40","11",935872,1115300,1048190,1703430,1935290,1640150,787381,883828,1196690,1321720,1010260,892771,1152100,1368590,1383140,1461370,1004580,1636540,1385740,1326440,1267530,1144540,1043510,1010890,1254580,1437270,1032930,1064220,1221830,1510280,970550,889514,923382,1103950,1103320,786111,987715,933745,1219680,1162170,1221480,1280210,1066360,NA,1231730,926267,1295030,1070860,888966,1099320,1284700,1259940,1114780,776364,1030450,925904,852539,793917,617872,886131,966745,939097,899191,934503,"-"
"OGDH","Q02218","43",26526000,39407100,33039300,66805600,41567100,50187300,26169900,36560100,38837400,31803600,43389100,37151700,26184200,35073400,35691200,43624600,27990500,44702600,38897700,58485300,39438600,29294400,38838100,40845100,40018700,40128000,31602400,22255100,30508200,29656200,42033500,28978400,46000100,35380400,79357200,45279500,44358300,53897900,39471100,38777700,33247900,34827800,36679900,38222800,32823800,28964700,40052000,40632300,31337800,26711300,40438300,61795700,51730800,46831400,38196100,44308000,39138200,37772100,39113100,38904700,39076400,29070200,28764600,27384500,"-"
"OGN","P20774","5",1290040,824422,634069,NA,810262,NA,NA,NA,NA,NA,NA,NA,1979020,NA,1148440,NA,NA,1937760,NA,NA,NA,3570570,1198370,NA,NA,724880,1466050,1480910,1102900,1417650,NA,NA,916975,NA,3498230,NA,1066170,1971810,NA,NA,1234500,NA,NA,NA,NA,NA,1647250,NA,NA,NA,NA,NA,NA,912697,3160570,NA,NA,NA,NA,NA,NA,NA,1005700,1183600,"-"
"OLA1","Q9NTK5","17",15727800,10347600,11869700,12187800,11332000,11043800,11361400,13467800,11633700,10990500,10152500,11324000,13148100,10165900,11806000,10088800,13204200,10154300,11628800,11492400,10563000,10732300,11082700,10869700,9089270,11291000,10299900,13457900,12193200,11147900,10661700,13765800,9725490,9375660,9448680,11026900,11322300,14755500,13208700,11040200,12346300,14512800,11386900,9822610,13154900,12398800,12468900,9061510,12421000,10965800,10667100,9873580,11592100,9924580,13821300,12369400,11659200,10874800,11590600,10029800,12109500,11114600,12802400,10170200,"-"
"OPA1","O60313","23",1823160,2278050,1415680,4073390,2586870,3713640,1617050,2261790,2278650,2235050,2397120,1371980,2018870,2570890,2349050,3416090,1995040,3437280,2237330,3629620,2584940,2763630,2761430,2432840,2729620,3073770,2457200,1411430,2124830,2109960,2153300,1747420,2151860,2394280,2233330,1413610,1196490,1553890,2185780,2194440,2249490,2348330,1795480,1863100,2283880,2067180,1779470,2195300,1853910,1858560,2750410,1744630,1976830,1535900,2048580,2868530,1618040,2391970,2203320,2104810,2089950,2455640,2492610,2231870,"-"
"OPA3","Q9H6K4","1",NA,449875,509735,718451,621102,662310,NA,275270,401939,417720,557113,684215,NA,397338,582306,891244,NA,623869,726688,580008,762837,460896,NA,439729,528098,404803,NA,NA,321788,436847,410036,NA,386856,437963,870805,497934,406614,588898,409162,677459,NA,NA,417364,NA,NA,NA,464589,464609,NA,494545,447037,1080670,712503,826685,247256,422680,NA,442066,NA,419579,NA,501304,NA,471018,"-"
"OPLAH","O14841","16",391331,576903,587822,918029,674962,891728,474575,571568,723968,541955,560290,589453,620842,637307,577864,635473,474019,707536,663719,812148,541979,553640,615211,562389,605252,581855,657094,434226,686731,540033,505245,NA,574412,NA,NA,446279,408109,405512,461429,431032,341788,NA,434182,NA,570369,421120,478140,725693,335027,481204,283734,551483,NA,484406,401958,454244,488001,365656,318518,486305,472867,383773,387994,271085,"-"
"OPTN","Q96CV9","12",240344,271067,200826,325688,371635,258534,241545,145696,167147,256519,241853,161065,191507,209585,343442,180175,250300,303810,302890,247728,295755,145673,195243,163309,174353,249270,208442,285595,140214,149805,140447,137555,202690,132582,NA,NA,NA,NA,207652,177636,120090,206974,NA,NA,156072,NA,262823,206338,162814,127490,162548,NA,NA,NA,285449,150658,186557,146913,157986,159580,138457,171026,145614,295276,"-"
"ORM1","P02763","8",22055200,16997700,16056800,17332300,12493300,15117600,18842700,13848800,22887600,22236300,27660400,62136400,28744100,22585600,22478200,16201600,16784000,10369500,16544600,27447200,9868160,16371800,15035800,18699800,23223100,17724800,28247500,56546800,14422700,33393400,32897200,19286400,16207800,33655200,4728160,8250400,12534100,12969400,10848900,27637300,14054800,17654600,32382900,14991700,10131600,29915600,7033050,30506500,17742700,41941500,35709300,14026600,8438940,10223800,30118600,15799200,32339200,23071900,16777900,28001900,16089800,15504000,33502900,2538910,"+"
"ORM2","P19652","6",4356190,3280580,3341870,2918930,5179230,3017830,2790450,2532200,2245830,3515380,1704080,4099020,3386720,4906680,3181050,3080860,3344940,1981680,3280300,4635420,1877310,3074510,2660630,3466040,2195280,3123920,3364070,6726030,2270750,4042250,4463040,3396010,3367580,5733080,NA,1611830,2789580,2446600,2077910,3609870,938598,3770360,2594150,3516390,1520140,3642820,1148440,4356810,2437980,3603500,2795990,2168000,2370550,2189320,1884880,3104950,5156730,1373430,2804150,2675900,2950370,2713850,4855690,810328,"+"
"OSBP","P22059","12",424085,442703,380694,527574,444640,450644,416952,584251,434486,426967,475661,316968,479886,420488,471233,475540,495252,529428,487680,426417,472459,478034,442629,366908,397784,434901,479979,606507,483196,406819,413204,381032,451274,NA,NA,NA,388562,417058,524806,395395,372205,491675,293604,282359,458062,373781,447654,353447,436759,312280,376258,NA,NA,297478,435005,366016,404440,343824,398514,365177,448131,429458,412786,422612,"-"
